0.00, 0.00, 0.00
0.10, 0.01, 0.01
0.20, 0.04, 0.02
0.29, 0.09, 0.03
0.37, 0.16, 0.04
0.44, 0.24, 0.05
0.50, 0.34, 0.06
0.54, 0.45, 0.07
0.56, 0.57, 0.08
0.56, 0.70, 0.09
0.54, 0.84, 0.10
0.50, 0.98, 0.11
0.43, 1.12, 0.12
0.35, 1.25, 0.13
0.24, 1.38, 0.14
0.11, 1.50, 0.15
-0.05, 1.60, 0.16
-0.22, 1.69, 0.17
-0.41, 1.75, 0.18
-0.61, 1.80, 0.19
-0.83, 1.82, 0.20
-1.06, 1.81, 0.21
-1.29, 1.78, 0.22
-1.53, 1.72, 0.23
-1.77, 1.62, 0.24
-2.00, 1.50, 0.25
-2.23, 1.34, 0.26
-2.44, 1.15, 0.27
-2.64, 0.94, 0.28
-2.82, 0.69, 0.29
-2.97, 0.42, 0.30
-3.10, 0.13, 0.31
-3.19, -0.19, 0.32
-3.26, -0.52, 0.33
-3.29, -0.87, 0.34
-3.28, -1.23, 0.35
-3.23, -1.59, 0.36
-3.14, -1.96, 0.37
-3.01, -2.33, 0.38
-2.83, -2.68, 0.39
-2.61, -3.03, 0.40
-2.36, -3.35, 0.41
-2.06, -3.66, 0.42
-1.72, -3.94, 0.43
-1.35, -4.19, 0.44
-0.95, -4.40, 0.45
-0.52, -4.57, 0.46
-0.06, -4.70, 0.47
0.42, -4.78, 0.48
0.91, -4.81, 0.49
